131,"Nguyen, Ethan",A18 ,BATTLEBORNFC ,Nevada ,USA ,1 ,0.20 ,13 ,22 ,-9 ,Eliminated
132,"Brewer, Andrew",A18 / 90 ,AFM / EBFG ,Southern CA ,USA ,1 ,0.20 ,11 ,24 ,-13 ,Eliminated
133,"Post, Jason",A17 ,FENCERSCLUB ,Metro NYC ,USA ,1 ,0.17 ,22 ,26 ,-4 ,Eliminated
134,"Grams, Steven",A17 / 103 ,NORTHSHOREFC ,Long Island ,CAN ,1 ,0.17 ,21 ,26 ,-5 ,Eliminated
135,"Matveev, Valentin",A17 / 109 ,BATTLEBORNFC ,Nevada ,USA ,1 ,0.17 ,15 ,20 ,-5 ,Eliminated
136,"Dinkins, Ramadan",A18 / 87 ,WNDYCTYCHICG ,Illinois ,USA ,1 ,0.17 ,22 ,28 ,-6 ,Eliminated
137,"Tae, William",B18 ,PENTAOLYFC ,Virginia ,USA ,1 ,0.17 ,21 ,28 ,-7 ,Eliminated
138T,"Dorati, Arturo",B14 ,SFLORIDAFC ,,PAN ,1 ,0.17 ,21 ,29 ,-8 ,Eliminated
138T,"Sjostedt, Jacob",B18 ,TIGERZFA / FENCERSCLUB ,Philadelphia ,USA ,1 ,0.17 ,21 ,29 ,-8 ,Eliminated
140,"Shirey, Daniel",A17 ,IMASTERS / PREMFENCALL ,Georgia ,USA ,1 ,0.17 ,20 ,28 ,-8 ,Eliminated
141,"Kim, Yunwoo",A16 ,,New England ,KOR ,1 ,0.17 ,20 ,29 ,-9 ,Eliminated
142T,"Stott, Donovan",A18 ,ROCHESTERFC ,Western NY ,USA ,1 ,0.17 ,19 ,28 ,-9 ,Eliminated
142T,"Mun, Michael",A18 ,LAIFC ,Orange Coast ,USA ,1 ,0.17 ,19 ,28 ,-9 ,Eliminated
144,"Li, Jason Man Kit",B17 ,,,CAN ,1 ,0.17 ,18 ,28 ,-10 ,Eliminated
145,"Frank, Timmy",A18 / 53 ,NWFENCINGCTR ,Oregon ,USA ,1 ,0.17 ,17 ,27 ,-10 ,Eliminated
146,"Ma, Ark",A17 / 100 ,ALLIANCEFA ,Gulf Coast ,USA ,1 ,0.17 ,17 ,28 ,-11 ,Eliminated
147,"Ji, Victor",B17 ,,,CAN ,1 ,0.17 ,16 ,28 ,-12 ,Eliminated
148,"Lim, Timothy",B16 ,,National ,USA ,1 ,0.17 ,15 ,27 ,-12 ,Eliminated
149,"Haider, Syed Mikail",A17 ,IMASTERS ,Georgia ,USA ,1 ,0.17 ,15 ,28 ,-13 ,Eliminated
150,"Xu, Zitong (Evan)",B18 ,ALLIANCEFA ,Gulf Coast ,USA ,1 ,0.17 ,13 ,27 ,-14 ,Eliminated
151,"Mu, Lejia",B18 ,,,CAN ,1 ,0.17 ,14 ,29 ,-15 ,Eliminated
152,"Wallace, Jimmy",B16 ,DUNWOODYFC / VATECHUNIV ,Georgia ,USA ,1 ,0.17 ,12 ,27 ,-15 ,Eliminated
153,"Suvorov, Yuly",A16 / 112 ,SAS / WFA ,Western WA ,USA ,1 ,0.17 ,11 ,28 ,-17 ,Eliminated
154,"Comer, Daniel",C18 ,FORTUNE ,Southern CA ,USA ,1 ,0.17 ,10 ,27 ,-17 ,Eliminated
155,"Vinnitchouk, Ted",B18 / 94 ,,,CAN ,0 ,0.00 ,15 ,23 ,-8 ,Eliminated
156,"Sallembien, Nicolas",A18 / 96 ,AFM ,Central CA ,USA ,0 ,0.00 ,20 ,30 ,-10 ,Eliminated
157,"Bekker, Samuel",A18 ,NYU / NYFA ,Metro NYC ,USA ,0 ,0.00 ,18 ,30 ,-12 ,Eliminated
158,"Eltawil, Amr",B14 ,,,EGY ,0 ,0.00 ,7 ,29 ,-22 ,Eliminated
159,"AL-Tayeb, Ahmed",B18 ,OSUNCAA ,Columbus OH ,KSA ,0 ,0.00 ,5 ,30 ,-25 ,Eliminated
